model	carbon	nitrogen_regime	reaction_id	minimum	maximum	fraction_of_optimum
candidate_n2_boundary	butyrate	nitrogenase_forced_min_n2_open	rxn06874_c0	0.01	21.69966269841278	0.9
candidate_n2_boundary	butyrate	nitrogenase_forced_min_n2_open	rxn05759_c0	-21.699662698412777	91.08658333333499	0.9
candidate_n2_boundary	butyrate	nitrogenase_forced_min_n2_open	rxn00018_c0	0.0	509.0724999999998	0.9
candidate_n2_boundary	butyrate	nitrogenase_forced_min_n2_open	rxn01111_c0	0.0	509.07249999999993	0.9
candidate_n2_boundary	fumarate	ammonium_open_n2_closed	bio1	0.0	0.0	0.9
candidate_n2_boundary	fumarate	ammonium_open_n2_closed	EX_cpd11640_e0	0.0	76.63691666666135	0.9
candidate_n2_boundary	fumarate	ammonium_open_n2_closed	rxn06874_c0	0.0	0.0	0.9
candidate_n2_boundary	fumarate	ammonium_open_n2_closed	rxn05759_c0	0.0	76.63691666666948	0.9
candidate_n2_boundary	fumarate	ammonium_open_n2_closed	rxn00018_c0	0.0	509.7612500000002	0.9
candidate_n2_boundary	fumarate	ammonium_open_n2_closed	rxn01111_c0	0.0	509.7612500000005	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_closed	bio1	0.0	0.0	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_closed	EX_cpd11640_e0	0.0	76.63691666666512	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_closed	rxn06874_c0	0.0	0.0	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_closed	rxn05759_c0	0.0	76.63691666666753	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_closed	rxn00018_c0	0.0	509.76125	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_closed	rxn01111_c0	0.0	509.7612500000005	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_open	bio1	0.0	0.0	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_open	EX_cpd11640_e0	0.0	76.63691666666952	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_open	rxn06874_c0	0.0	18.246884920635154	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_open	rxn05759_c0	-18.246884920635033	76.63691666666669	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_open	rxn00018_c0	0.0	509.76125	0.9
candidate_n2_boundary	fumarate	ammonium_closed_n2_open	rxn01111_c0	0.0	509.7612500000002	0.9
candidate_n2_boundary	fumarate	nitrogenase_forced_min_n2_open	bio1	0.0	2.3839868521082551e-32	0.9
candidate_n2_boundary	fumarate	nitrogenase_forced_min_n2_open	EX_cpd11640_e0	0.0	76.59491666666736	0.9
candidate_n2_boundary	fumarate	nitrogenase_forced_min_n2_open	rxn06874_c0	0.01	18.246884920636113	0.9
candidate_n2_boundary	fumarate	nitrogenase_forced_min_n2_open	rxn05759_c0	-18.246884920636113	76.58491666666569	0.9
candidate_n2_boundary	fumarate	nitrogenase_forced_min_n2_open	rxn00018_c0	0.0	509.68375	0.9
candidate_n2_boundary	fumarate	nitrogenase_forced_min_n2_open	rxn01111_c0	-1.684152329684909e-34	509.6837499999994	0.9
