reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
rxn00566_c0	L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00084[c0] --> cpd00013[c0] + cpd00020[c0] + cpd00067[c0] + cpd00239[c0]	TX73_RS12185	False
rxn00646_c0	L-glutamate:L-cysteine gamma-ligase (ADP-forming)_c0	0.0	1000.0	cpd00002[c0] + cpd00023[c0] + cpd00084[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00067[c0] + cpd00506[c0]	TX73_RS04240	False
rxn00647_c0	L-Cysteine:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00084[c0] <=> cpd00023[c0] + cpd00706[c0]	TX73_RS22440	False
rxn00654_c0	N-Carbamoyl-beta-alanine amidohydrolase_c0	0.0	1000.0	cpd00001[c0] + 2.0 cpd00067[c0] + cpd01720[c0] --> cpd00011[c0] + cpd00013[c0] + cpd00085[c0]	TX73_RS08975	False
rxn00689_c0	Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)_c0	-1000.0	1000.0	cpd00002[c0] + cpd00023[c0] + cpd00087[c0] <=> cpd00008[c0] + cpd00009[c0] + cpd00067[c0] + cpd06227[c0]	TX73_RS00375	False
rxn00722_c0	Anthranilate,NADPH:oxygen oxidoreductase (3-hydroxylating, deaminating)_c0	-1000.0	1000.0	cpd00005[c0] + cpd00007[c0] + 2.0 cpd00067[c0] + cpd00093[c0] <=> cpd00006[c0] + cpd00013[c0] + cpd00168[c0]	TX73_RS12015	False
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)_c0	0.0	1000.0	cpd00013[c0] + cpd00216[c0] --> cpd00001[c0] + cpd00020[c0] + cpd00067[c0] + cpd00093[c0]	TX73_RS23350	False
rxn00727_c0	Chorismate pyruvate-lyase (amino-accepting)_c0	0.0	1000.0	cpd00053[c0] + cpd00216[c0] --> cpd00020[c0] + cpd00023[c0] + cpd00067[c0] + cpd00093[c0]	TX73_RS23350	False
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)_c0	0.0	1000.0	cpd00161[c0] --> cpd00013[c0] + cpd00094[c0]	TX73_RS20550	False
rxn00790_c0	phosphoribosyl pyrophosphate amidotransferase_c0	0.0	1000.0	cpd00001[c0] + cpd00053[c0] + cpd00103[c0] --> cpd00012[c0] + cpd00023[c0] + cpd00067[c0] + cpd01982[c0]	TX73_RS15990	False
rxn00806_c0	L-Leucine:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00107[c0] <=> cpd00023[c0] + cpd00200[c0]	TX73_RS22650 or TX73_RS23855	False
rxn00837_c0	inosine-5'-phosphate:NADP+ oxidoreductase (aminating)_c0	0.0	1000.0	cpd00005[c0] + 2.0 cpd00067[c0] + cpd00126[c0] --> cpd00006[c0] + cpd00013[c0] + cpd00114[c0]	TX73_RS23695	False
rxn00856_c0	putrescine:2-oxoglutarate aminotransferase	-1000.0	1000.0	cpd00024[c0] + cpd00118[c0] <=> cpd00023[c0] + cpd00434[c0]		False
rxn00903_c0	L-Valine:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00156[c0] <=> cpd00023[c0] + cpd00123[c0]	TX73_RS22650 or TX73_RS23855	False
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming	0.0	1000.0	cpd00002[c0] + cpd00013[c0] + cpd00497[c0] --> cpd00012[c0] + cpd00018[c0] + 3.0 cpd00067[c0] + cpd00126[c0]		False
rxn00917_c0	Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd00497[c0] --> cpd00012[c0] + cpd00018[c0] + cpd00023[c0] + 3.0 cpd00067[c0] + cpd00126[c0]	TX73_RS11370 or TX73_RS11370	False
rxn00950_c0	Cystathionine L-homocysteine-lyase (deaminating)_c0	0.0	1000.0	cpd00001[c0] + cpd00424[c0] --> cpd00013[c0] + cpd00020[c0] + cpd00135[c0]	TX73_RS13235	False
rxn01204_c0	4-aminobutanoate:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00281[c0] <=> cpd00023[c0] + cpd00199[c0]	TX73_RS12015	False
rxn01210_c0	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)_c0	0.0	1000.0	cpd00002[c0] + cpd00023[c0] + cpd00201[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00067[c0] + cpd03524[c0]	TX73_RS00375	False
rxn01234_c0	taurine:ferricytochrome-c oxidoreductase (deaminating)_c0	-1000.0	1000.0	cpd00001[c0] + 2.0 cpd00109[c0] + cpd00210[c0] <=> cpd00013[c0] + 2.0 cpd00067[c0] + 2.0 cpd00110[c0] + cpd00460[c0]	TX73_RS00580 and TX73_RS00585	False
rxn01251_c0	Pyridoxamine:oxygen oxidoreductase (deaminating)	0.0	1000.0	cpd00001[c0] + cpd00007[c0] + cpd00419[c0] --> cpd00013[c0] + cpd00025[c0] + cpd00215[c0]	TX73_RS06145	False
rxn01257_c0	chorismate:L-glutamine aminotransferase_c0	-1000.0	1000.0	cpd00053[c0] + cpd00216[c0] <=> cpd00023[c0] + cpd08210[c0]		False
rxn01368_c0	Cytidine aminohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd00067[c0] + cpd00367[c0] --> cpd00013[c0] + cpd00249[c0]	TX73_RS05660	False
