model	module	reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
v1_13_baseline	h2	rxn05735_c0	aldehyde dehydrogenase (aminoacetaldehyde, NAD)_c0	0.0	1000.0	cpd00001[c0] + cpd00003[c0] + cpd04122[c0] --> cpd00004[c0] + cpd00033[c0] + 2.0 cpd00067[c0]		False
v1_13_baseline	h2	rxn00006_c0	hydrogen-peroxide:hydrogen-peroxide oxidoreductase_c0	0.0	1000.0	2.0 cpd00025[c0] --> 2.0 cpd00001[c0] + cpd00007[c0]	TX73_RS02230 or TX73_RS17115	False
v1_13_baseline	ferredoxin	rxn05893_c0	Ammonia:ferredoxin oxidoreductase_c0	-1000.0	1000.0	2.0 cpd00001[c0] + cpd00013[c0] + 6.0 cpd11621[c0] <=> 8.0 cpd00067[c0] + cpd00075[c0] + 6.0 cpd11620[c0]	TX73_RS19220	False
v1_13_baseline	nitrogenase	rxn06874_c0	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)_c0	0.0	1000.0	16.0 cpd00001[c0] + 16.0 cpd00002[c0] + cpd00528[c0] + 8.0 cpd11620[c0] --> 16.0 cpd00008[c0] + 16.0 cpd00009[c0] + 2.0 cpd00013[c0] + 6.0 cpd00067[c0] + 8.0 cpd11621[c0] + cpd11640[c0]	(TX73_RS23995 and TX73_RS23990 and TX73_RS23985) or (TX73_RS07065 and TX73_RS07075 and TX73_RS07085) or (TX73_RS07385 and TX73_RS07380 and TX73_RS07370)	False
v1_13_baseline	h2	rxn06874_c0	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)_c0	0.0	1000.0	16.0 cpd00001[c0] + 16.0 cpd00002[c0] + cpd00528[c0] + 8.0 cpd11620[c0] --> 16.0 cpd00008[c0] + 16.0 cpd00009[c0] + 2.0 cpd00013[c0] + 6.0 cpd00067[c0] + 8.0 cpd11621[c0] + cpd11640[c0]	(TX73_RS23995 and TX73_RS23990 and TX73_RS23985) or (TX73_RS07065 and TX73_RS07075 and TX73_RS07085) or (TX73_RS07385 and TX73_RS07380 and TX73_RS07370)	False
v1_13_baseline	ferredoxin	rxn06874_c0	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)_c0	0.0	1000.0	16.0 cpd00001[c0] + 16.0 cpd00002[c0] + cpd00528[c0] + 8.0 cpd11620[c0] --> 16.0 cpd00008[c0] + 16.0 cpd00009[c0] + 2.0 cpd00013[c0] + 6.0 cpd00067[c0] + 8.0 cpd11621[c0] + cpd11640[c0]	(TX73_RS23995 and TX73_RS23990 and TX73_RS23985) or (TX73_RS07065 and TX73_RS07075 and TX73_RS07085) or (TX73_RS07385 and TX73_RS07380 and TX73_RS07370)	False
v1_13_baseline	nitrogenase	rxn39362_c0	nitrogen:ferricytochrome-c oxidoreductase (N2O-forming)_c0	-1000.0	1000.0	cpd00001[c0] + 2.0 cpd00109[c0] + cpd00528[c0] <=> 2.0 cpd00067[c0] + 2.0 cpd00110[c0] + cpd00659[c0]	TX73_RS10625	False
v1_13_baseline	cbb_rubisco	rxn02507_c0	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)_c0	0.0	1000.0	cpd00067[c0] + cpd00956[c0] --> cpd00001[c0] + cpd00011[c0] + cpd02210[c0]	TX73_RS14985	False
v1_13_baseline	h2	rxn03542_c0	hydrogenobyrinic-acid-a,c-diamide:cobalt cobalt-ligase (ADP-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00149[c0] + cpd03913[c0] --> cpd00008[c0] + cpd00009[c0] + 5.0 cpd00067[c0] + cpd03914[c0]	TX73_RS02575 and TX73_RS03705 and TX73_RS12395 and TX73_RS02585	False
v1_13_baseline	h2	rxn02774_c0	precorrin-2 dehydrogenase_c0	-1000.0	1000.0	cpd00003[c0] + cpd01620[c0] <=> cpd00004[c0] + 2.0 cpd00067[c0] + cpd03426[c0]	TX73_RS21850	False
v1_13_baseline	ferredoxin	rxn04160_c0	ATP-dependent ferredoxin:protochlorophyllide-a 7,8-oxidoreductase_c0	-1000.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00067[c0] + cpd01845[c0] <=> cpd00008[c0] + cpd00009[c0] + cpd01449[c0]	TX73_RS07925 and TX73_RS07930 and TX73_RS07940	False
v1_13_baseline	ferredoxin	rxn15930_c0	3-hydroxyethylbacteriochlorophyllide-a:ferredoxin oxidoreductase_c0	0.0	1000.0	2.0 cpd00067[c0] + cpd11620[c0] + cpd19424[c0] --> cpd11621[c0] + cpd19423[c0]	TX73_RS07825 and TX73_RS07830 and TX73_RS07835	False
v1_13_baseline	h2	rxn00414_c0	hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)_c0	0.0	1000.0	cpd00001[c0] + 2.0 cpd00002[c0] + cpd00053[c0] + cpd00242[c0] --> 2.0 cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + 2.0 cpd00067[c0] + cpd00146[c0]	TX73_RS06555 and TX73_RS21090	False
v1_13_baseline	ferredoxin	rxn14070_c0	(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized ferredoxin oxidoreductase (hydrating)_c0	0.0	1000.0	2.0 cpd00067[c0] + cpd08301[c0] + 2.0 cpd11620[c0] --> cpd00001[c0] + cpd08615[c0] + 2.0 cpd11621[c0]	TX73_RS02690	False
v1_13_baseline	h2	EX_cpd00001_e0	Exchange for H2O_e0	-100.0	100.0	cpd00001[e0] <=> 		True
v1_13_baseline	h2	EX_cpd00268_e0	Exchange for H2S2O3_e0	0.0	100.0	cpd00268[e0] --> 		True
v1_13_baseline	h2	EX_cpd11640_e0	Exchange for H2_e0	0.0	1000.0	cpd11640[e0] --> 		True
v1_13_baseline	h2	rxn05319_c0	diffusion for H2O_e0	-1000.0	1000.0	cpd00001[e0] <=> cpd00001[c0]	TX73_RS12845	False
v1_13_baseline	phb	biomass_storage_c0	storage biomass pseudo-reaction_c0	0.0	1000.0	0.4321 cpd11735[c0] + 0.1163 cpd12836[c0] --> bm_storage[c0]		False
v1_13_baseline	h2	rxn12239_c0	4-hydroxybenzyl alcohol dehydrogenase_c0	-1000.0	1000.0	cpd00003[c0] + cpd15378[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd00484[c0]		False
v1_13_baseline	h2	rxn00623_c0	hydrogen-sulfide:NADP+ oxidoreductase_c0	0.0	1000.0	3.0 cpd00005[c0] + 3.0 cpd00067[c0] + cpd00081[c0] --> 3.0 cpd00001[c0] + 3.0 cpd00006[c0] + cpd00239[c0]		False
v1_14_candidate_n2	ferredoxin	rxn13974_c0	pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating)	-1000.0	1000.0	cpd00011[c0] + cpd00022[c0] + cpd00067[c0] + 2.0 cpd11620[c0] <=> cpd00010[c0] + cpd00020[c0] + 2.0 cpd11621[c0]		False
v1_14_candidate_n2	ferredoxin	rxn14048_c0	2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)_c0	-1000.0	1000.0	cpd00011[c0] + cpd00067[c0] + cpd00078[c0] + 2.0 cpd11620[c0] <=> cpd00010[c0] + cpd00024[c0] + 2.0 cpd11621[c0]	TX73_RS06305 and TX73_RS06295 and TX73_RS06290 and TX73_RS06300	False
v1_14_candidate_n2	h2	rxn05759_c0	hydrogen:ferredoxin oxidoreductase_c0	-1000.0	1000.0	2.0 cpd00067[c0] + 2.0 cpd11620[c0] <=> 2.0 cpd11621[c0] + cpd11640[c0]		False
v1_14_candidate_n2	ferredoxin	rxn05759_c0	hydrogen:ferredoxin oxidoreductase_c0	-1000.0	1000.0	2.0 cpd00067[c0] + 2.0 cpd11620[c0] <=> 2.0 cpd11621[c0] + cpd11640[c0]		False
v1_14_candidate_n2	h2	rxn08691_c0	hydrogen transport via diffusion (extracellular to periplasm)_c0	-1000.0	1000.0	cpd11640[c0] <=> cpd11640[e0]		False
v1_14_candidate_n2	cbb_rubisco	rxn01103_c0	3-Phospho-D-glyceroyl phosphate phosphohydrolase_c0	0.0	1000.0	cpd00001[c0] + cpd00203[c0] --> cpd00009[c0] + cpd00067[c0] + cpd00169[c0]	TX73_RS16410	False
v1_14_candidate_n2	cbb_rubisco	rxn01100_c0	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	-1000.0	1000.0	cpd00002[c0] + cpd00169[c0] <=> cpd00008[c0] + cpd00203[c0]	TX73_RS04860	False
v1_14_candidate_n2	cbb_rubisco	rxn01106_c0	2-Phospho-D-glycerate 2,3-phosphomutase_c0	-1000.0	1000.0	cpd00482[c0] <=> cpd00169[c0]	TX73_RS01765	False
v1_14_candidate_n2	cbb_rubisco	rxn01116_c0	D-Ribulose-5-phosphate 3-epimerase_c0	-1000.0	1000.0	cpd00171[c0] <=> cpd00198[c0]	TX73_RS19755	False
v1_14_candidate_n2	phb	rxn05329_c0	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase_c0	-1000.0	1000.0	cpd11478[c0] <=> cpd00001[c0] + cpd11465[c0]	TX73_RS10415 or TX73_RS15090	False
v1_14_candidate_n2	phb	rxn05339_c0	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase_c0	-1000.0	1000.0	cpd00005[c0] + cpd00067[c0] + cpd11488[c0] <=> cpd00006[c0] + cpd11478[c0]	TX73_RS15900	False
v1_14_candidate_n2	h2	rxn03951_c0	NAD-dependent threonine 4-phosphate dehydrogenase_c0	-1000.0	1000.0	cpd00003[c0] + cpd03607[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd04539[c0]	TX73_RS15855	False
v1_14_candidate_n2	h2	rxn04139_c0	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone ,NADPH2:oxygen oxidoreductase_c0	0.0	1000.0	cpd00005[c0] + cpd00007[c0] + cpd00067[c0] + cpd03448[c0] --> cpd00001[c0] + cpd00006[c0] + cpd03449[c0]	TX73_RS01410	False
v1_14_candidate_n2	h2	rxn00183_c0	L-glutamate-5-semialdehyde dehydrogenase_c0	0.0	1000.0	cpd00001[c0] + cpd00003[c0] + cpd00858[c0] --> cpd00004[c0] + cpd00023[c0] + 2.0 cpd00067[c0]	TX73_RS08115	False
v1_14_candidate_n2	cbb_rubisco	rxn05040_c0	D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)_c0	0.0	1000.0	cpd00171[c0] --> cpd00047[c0] + cpd00067[c0] + cpd11225[c0]	TX73_RS05620	False
v1_14_candidate_n2	h2	rxn30330_c0	L-4-hydroxyglutamate semialdehyde dehydrogenase (L-erythro-4-hydroxyglutamate-forming)_c0	-1000.0	1000.0	cpd00001[c0] + cpd00003[c0] + cpd03530[c0] <=> cpd00004[c0] + 2.0 cpd00067[c0] + cpd19042[c0]	TX73_RS08115	False
v1_14_candidate_n2	ferredoxin	rxn06167_c0	cyclohexa-1,5-diene-1-carbonyl-CoA:ferredoxin oxidoreductase (aromatizing, ATP-forming)_c0	-1000.0	1000.0	2.0 cpd00001[c0] + 2.0 cpd00002[c0] + cpd00401[c0] + cpd11610[c0] <=> 2.0 cpd00008[c0] + 2.0 cpd00009[c0] + cpd03763[c0] + cpd11609[c0]	TX73_RS03405 and TX73_RS03410 and TX73_RS03415 and TX73_RS03420	False
v1_14_candidate_n2	ferredoxin	rxn14227_c0	4-cresol:acceptor oxidoreductase (methyl-hydroxylating)_c0	0.0	1000.0	cpd00001[c0] + cpd01042[c0] + 4.0 cpd11621[c0] --> 4.0 cpd00067[c0] + cpd00484[c0] + 4.0 cpd11620[c0]		False
v1_14_candidate_n2	phb	rxn01453_c0	(R)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0	-1000.0	1000.0	cpd00006[c0] + cpd02234[c0] <=> cpd00005[c0] + cpd00067[c0] + cpd00279[c0]	TX73_RS02755	False
