anchor_metabolite_id	anchor_metabolite_name	reaction_id	reaction_name	lower_bound	upper_bound	gpr	reaction
cpd00135[c0]	Homocysteine_c0	rxn00950_c0	Cystathionine L-homocysteine-lyase (deaminating)_c0	0.0	1000.0	TX73_RS13235	cpd00001[c0] + cpd00424[c0] --> cpd00013[c0] + cpd00020[c0] + cpd00135[c0]
cpd00135[c0]	Homocysteine_c0	rxn00952_c0	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0	0.0	1000.0	TX73_RS08060 or TX73_RS14315	cpd00239[c0] + cpd00790[c0] --> cpd00029[c0] + cpd00135[c0]
cpd00135[c0]	Homocysteine_c0	rxn03052_c0	5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase_c0	-1000.0	1000.0	TX73_RS11255 or TX73_RS12380	cpd00135[c0] + cpd02738[c0] <=> cpd00060[c0] + cpd02555[c0]
cpd00135[c0]	Homocysteine_c0	rxn05957_c0	O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0	0.0	1000.0	TX73_RS24775	cpd00239[c0] + cpd00822[c0] --> cpd00036[c0] + cpd00135[c0]
cpd00135[c0]	Homocysteine_c0	rxn06078_c0	O-acetyl-L-homoserine acetate-lyase (L-homocysteine forming)_c0	0.0	1000.0	TX73_RS08060 or TX73_RS14315	cpd00268[c0] + cpd00790[c0] + cpd11421[c0] --> cpd00029[c0] + cpd00067[c0] + cpd00081[c0] + cpd00135[c0] + cpd11420[c0]
cpd00135[c0]	Homocysteine_c0	rxn15167_c0	L-serine hydro-lyase (adding homocysteine; L-cystathionine-forming)_c0	-1000.0	1000.0	TX73_RS12180	cpd00054[c0] + cpd00135[c0] <=> cpd00001[c0] + cpd19019[c0]
cpd00424[c0]	Cystathionine_c0	rxn00950_c0	Cystathionine L-homocysteine-lyase (deaminating)_c0	0.0	1000.0	TX73_RS13235	cpd00001[c0] + cpd00424[c0] --> cpd00013[c0] + cpd00020[c0] + cpd00135[c0]
cpd19019[c0]	L-Cystathionine_c0	rxn15167_c0	L-serine hydro-lyase (adding homocysteine; L-cystathionine-forming)_c0	-1000.0	1000.0	TX73_RS12180	cpd00054[c0] + cpd00135[c0] <=> cpd00001[c0] + cpd19019[c0]
cpd19019[c0]	L-Cystathionine_c0	rxn30633_c0	L-cystathionine cysteine-lyase (deaminating; 2-oxobutanoate-forming)_c0	-1000.0	1000.0	TX73_RS12185	cpd00001[c0] + cpd19019[c0] <=> cpd00013[c0] + cpd00084[c0] + cpd00094[c0]
cpd00790[c0]	O-Acetyl-L-homoserine_c0	rxn00952_c0	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0	0.0	1000.0	TX73_RS08060 or TX73_RS14315	cpd00239[c0] + cpd00790[c0] --> cpd00029[c0] + cpd00135[c0]
cpd00790[c0]	O-Acetyl-L-homoserine_c0	rxn01303_c0	Acetyl-CoA:L-homoserine O-acetyltransferase_c0	0.0	1000.0	TX73_RS23025 and TX73_RS23020	cpd00022[c0] + cpd00227[c0] --> cpd00010[c0] + cpd00790[c0]
cpd00790[c0]	O-Acetyl-L-homoserine_c0	rxn06078_c0	O-acetyl-L-homoserine acetate-lyase (L-homocysteine forming)_c0	0.0	1000.0	TX73_RS08060 or TX73_RS14315	cpd00268[c0] + cpd00790[c0] + cpd11421[c0] --> cpd00029[c0] + cpd00067[c0] + cpd00081[c0] + cpd00135[c0] + cpd11420[c0]
cpd00822[c0]	O-Succinyl-L-homoserine_c0	rxn01304_c0	Succinyl-CoA:L-homoserine O-succinyltransferase_c0	0.0	1000.0	TX73_RS23840	cpd00078[c0] + cpd00227[c0] --> cpd00010[c0] + cpd00822[c0]
cpd00822[c0]	O-Succinyl-L-homoserine_c0	rxn05957_c0	O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0	0.0	1000.0	TX73_RS24775	cpd00239[c0] + cpd00822[c0] --> cpd00036[c0] + cpd00135[c0]
